========================================================================================
   RISOLUZIONE MDP E CAMMINATA OTTIMA: soluzioni/soluzione_grid_2.txt
   Dimensioni Griglia: 25x25 | Start: (0,0) | Goal: (24,24)
========================================================================================

--- MATRICE DEI VALORI V* ---
  v    v    v    v    v    v    v    ^    ^    ^    ^    ^    .    v    v    v    v    v    v    v    v    v    v    v    v  
  v    v    v    v    v    v    v    v    ^    ^    ^    ^    .    v    v    v    v    v    v    v    v    v    v    v    v  
  v    v    v    v    v    v    v    v    v    ^    ^    ^    .    v    v    v    v    v    v    v    v    v    v    v    v  
  v    v    v    v    v    v    v    v    v    v    ^    ^    .    v    v    v    v    v    v    v    v    v    v    v    v  
  >    >    >    >    >    >    v    <    <    <    <    ^    .    >    >    >    >    >    v    <    <    <    <    <    <  
  .    .    .    .    .    .    v    .    .    .    .    .    .    .    .    .    .    .    v    .    .    .    .    .    .  
  v    v    v    v    v    v    v    v    v    v    v    v    .    v    v    v    v    v    v    v    v    v    v    v    v  
  v    v    v    v    v    v    v    v    v    v    v    v    .    v    v    v    v    v    v    v    v    v    v    v    v  
  v    v    v    v    v    v    v    v    v    v    v    v    .    v    v    v    v    v    v    v    v    v    v    v    v  
  v    v    v    v    v    v    v    v    v    v    v    v    .    v    v    v    v    v    v    v    v    v    v    v    v  
  v    v    v    v    v    v    v    v    v    v    v    v    .    v    v    v    v    v    v    v    v    v    v    v    v  
  >    >    >    >    >    >    >    >    >    >    >    >    >    v    v    v    v    v    v    v    v    v    v    v    v  
  ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    .    v    v    v    v    v    v    v    v    v    v    v    v  
  ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    .    v    v    v    v    v    v    v    v    v    v    v    v  
  ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    .    v    v    v    v    v    v    v    v    v    v    v    v  
  ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    .    v    v    v    v    v    v    v    v    v    v    v    v  
  ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    .    v    v    v    v    v    v    v    v    v    v    v    v  
  ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    .    >    >    >    >    >    >    >    >    >    >    >    .  

--- GRIGLIA CON PERCORSO ROBOT ('S'=Start, 'G'=Goal, '*'=Percorso, '#'=Ostacolo) ---
S . . . . . . . . . . . # . . . . . . . . . . . . 
* . . . . . . . . . . . # . . . . . . . . . . . . 
* . . . . . . . . . . . # . . . . . . . . . . . . 
* . . . . . . . . . . . # . . . . . . . . . . . . 
* . . . . . . . . . . . # . . . . . . . . . . . . 
* . . . . . . . . . . . # . . . . . . . . . . . . 
* . . . . . . . . . . . . . . . . . . . . . . . . 
* . . . . . . . . . . . # . . . . . . . . . . . . 
* . . . . . . . . . . . # . . . . . . . . . . . . 
* . . . . . . . . . . . # . . . . . . . . . . . . 
* . . . . . . . . . . . # . . . . . . . . . . . . 
* * * * * * * . . . . . # . . . . . . . . . . . . 
# # # # # # * # # # # # # # # # # # . # # # # # # 
. . . . . . * . . . . . # . . . . . . . . . . . . 
. . . . . . * . . . . . # . . . . . . . . . . . . 
. . . . . . * . . . . . # . . . . . . . . . . . . 
. . . . . . * . . . . . # . . . . . . . . . . . . 
. . . . . . * . . . . . # . . . . . . . . . . . . 
. . . . . . * * * * * * * * . . . . . . . . . . . 
. . . . . . . . . . . . # * . . . . . . . . . . . 
. . . . . . . . . . . . # * . . . . . . . . . . . 
. . . . . . . . . . . . # * . . . . . . . . . . . 
. . . . . . . . . . . . # * . . . . . . . . . . . 
. . . . . . . . . . . . # * . . . . . . . . . . . 
. . . . . . . . . . . . # * * * * * * * * * * * G 

--- SEQUENZA COORDINATE DEL PERCORSO (N = 25) ---
(0,0) -> (1,0) -> (2,0) -> (3,0) -> (4,0) -> (5,0) -> (6,0) -> (7,0) -> (8,0) -> (9,0) -> 
(10,0) -> (11,0) -> (11,1) -> (11,2) -> (11,3) -> (11,4) -> (11,5) -> (11,6) -> (12,6) -> (13,6) -> 
(14,6) -> (15,6) -> (16,6) -> (17,6) -> (18,6) -> (18,7) -> (18,8) -> (18,9) -> (18,10) -> (18,11) -> 
(18,12) -> (18,13) -> (19,13) -> (20,13) -> (21,13) -> (22,13) -> (23,13) -> (24,13) -> (24,14) -> (24,15) -> 
(24,16) -> (24,17) -> (24,18) -> (24,19) -> (24,20) -> (24,21) -> (24,22) -> (24,23) -> (24,24)
