========================================================================================
   RISOLUZIONE MDP E CAMMINATA OTTIMA (STANDARD): soluzioni/soluzione_std_grid_8.txt
   Dimensioni Griglia: 80x80 | Start: (0,0) | Goal: (79,79)
========================================================================================

--- MATRICE DEI VALORI V* ('#'=Ostacolo) ---
  -57.00   -56.00   -55.00   -54.00   -53.00   -52.00   -51.00   -50.00   -49.00   -48.00   -47.00   -46.00   -45.00   -44.00   -43.00   -42.00   -41.00   -40.00   -39.00   -38.00   -37.00   -36.00   -35.00   -34.00   -33.00   -32.00   -31.00   -30.00   -29.00   -28.00   -27.00   -26.00   -25.00   -24.00   -23.00   -22.00   -21.00   -20.00   -19.00   -18.00   -17.00   -16.00   -15.00   -14.00   -13.00   -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00 
  -56.00   -55.00   -54.00   -53.00   -52.00   -51.00   -50.00   -49.00   -48.00   -47.00   -46.00   -45.00   -44.00   -43.00   -42.00   -41.00   -40.00   -39.00   -38.00   -37.00   -36.00   -35.00   -34.00   -33.00   -32.00   -31.00   -30.00   -29.00   -28.00   -27.00   -26.00   -25.00   -24.00   -23.00   -22.00   -21.00   -20.00   -19.00   -18.00   -17.00   -16.00   -15.00   -14.00   -13.00   -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00 
  -55.00   -54.00   -53.00   -52.00   -51.00   -50.00   -49.00   -48.00   -47.00   -46.00   -45.00   -44.00   -43.00   -42.00   -41.00   -40.00   -39.00   -38.00   -37.00   -36.00   -35.00   -34.00   -33.00   -32.00   -31.00   -30.00   -29.00   -28.00   -27.00   -26.00   -25.00   -24.00   -23.00   -22.00   -21.00   -20.00   -19.00   -18.00   -17.00   -16.00   -15.00   -14.00   -13.00   -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00 
  -54.00   -53.00   -52.00   -51.00   -50.00   -49.00   -48.00   -47.00   -46.00   -45.00   -44.00   -43.00   -42.00   -41.00   -40.00   -39.00   -38.00   -37.00   -36.00   -35.00   -34.00   -33.00   -32.00   -31.00   -30.00   -29.00   -28.00   -27.00   -26.00   -25.00   -24.00   -23.00   -22.00   -21.00   -20.00   -19.00   -18.00   -17.00   -16.00   -15.00   -14.00   -13.00   -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00 
  -53.00   -52.00   -51.00   -50.00        #   -50.00   -49.00   -48.00        #   -44.00   -43.00   -42.00        #   -42.00   -41.00   -40.00        #   -36.00   -35.00   -34.00        #   -34.00   -33.00   -32.00        #   -28.00   -27.00   -26.00        #   -26.00   -25.00   -24.00        #   -20.00   -19.00   -18.00        #   -18.00   -17.00   -16.00        #   -12.00   -11.00   -10.00        #   -10.00    -9.00    -8.00        #    -4.00    -3.00    -2.00        #    -2.00    -1.00     0.00        #     4.00     5.00     6.00        #     6.00     7.00     8.00        #    12.00    13.00    14.00        #    14.00    15.00    16.00        #    20.00    21.00    22.00    23.00    24.00    25.00    26.00 
  -52.00   -51.00   -50.00   -49.00        #   -51.00   -50.00   -49.00        #   -43.00   -42.00   -41.00        #   -43.00   -42.00   -41.00        #   -35.00   -34.00   -33.00        #   -35.00   -34.00   -33.00        #   -27.00   -26.00   -25.00        #   -27.00   -26.00   -25.00        #   -19.00   -18.00   -17.00        #   -19.00   -18.00   -17.00        #   -11.00   -10.00    -9.00        #   -11.00   -10.00    -9.00        #    -3.00    -2.00    -1.00        #    -3.00    -2.00    -1.00        #     5.00     6.00     7.00        #     5.00     6.00     7.00        #    13.00    14.00    15.00        #    13.00    14.00    15.00        #    21.00    22.00    23.00    24.00    25.00    26.00    27.00 
  -51.00   -50.00   -49.00   -48.00        #   -52.00   -51.00   -50.00        #   -42.00   -41.00   -40.00        #   -44.00   -43.00   -42.00        #   -34.00   -33.00   -32.00        #   -36.00   -35.00   -34.00        #   -26.00   -25.00   -24.00        #   -28.00   -27.00   -26.00        #   -18.00   -17.00   -16.00        #   -20.00   -19.00   -18.00        #   -10.00    -9.00    -8.00        #   -12.00   -11.00   -10.00        #    -2.00    -1.00     0.00        #    -4.00    -3.00    -2.00        #     6.00     7.00     8.00        #     4.00     5.00     6.00        #    14.00    15.00    16.00        #    12.00    13.00    14.00        #    22.00    23.00    24.00    25.00    26.00    27.00    28.00 
  -50.00   -49.00   -48.00   -47.00        #   -53.00   -52.00   -51.00        #   -41.00   -40.00   -39.00        #   -45.00   -44.00   -43.00        #   -33.00   -32.00   -31.00        #   -37.00   -36.00   -35.00        #   -25.00   -24.00   -23.00        #   -29.00   -28.00   -27.00        #   -17.00   -16.00   -15.00        #   -21.00   -20.00   -19.00        #    -9.00    -8.00    -7.00        #   -13.00   -12.00   -11.00        #    -1.00     0.00     1.00        #    -5.00    -4.00    -3.00        #     7.00     8.00     9.00        #     3.00     4.00     5.00        #    15.00    16.00    17.00        #    11.00    12.00    13.00        #    23.00    24.00    25.00    26.00    27.00    28.00    29.00 
  -49.00   -48.00   -47.00   -46.00        #        #        #        #        #   -40.00   -39.00   -38.00        #        #        #        #        #   -32.00   -31.00   -30.00        #        #        #        #        #   -24.00   -23.00   -22.00        #        #        #        #        #   -16.00   -15.00   -14.00        #        #        #        #        #    -8.00    -7.00    -6.00        #        #        #        #        #     0.00     1.00     2.00        #        #        #        #        #     8.00     9.00    10.00        #        #        #        #        #    16.00    17.00    18.00        #        #        #        #        #    24.00    25.00    26.00    27.00    28.00    29.00    30.00 
  -48.00   -47.00   -46.00   -45.00   -44.00   -43.00   -42.00   -41.00   -40.00   -39.00   -38.00   -37.00   -36.00   -35.00   -34.00   -33.00   -32.00   -31.00   -30.00   -29.00   -28.00   -27.00   -26.00   -25.00   -24.00   -23.00   -22.00   -21.00   -20.00   -19.00   -18.00   -17.00   -16.00   -15.00   -14.00   -13.00   -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00 
  -47.00   -46.00   -45.00   -44.00   -43.00   -42.00   -41.00   -40.00   -39.00   -38.00   -37.00   -36.00   -35.00   -34.00   -33.00   -32.00   -31.00   -30.00   -29.00   -28.00   -27.00   -26.00   -25.00   -24.00   -23.00   -22.00   -21.00   -20.00   -19.00   -18.00   -17.00   -16.00   -15.00   -14.00   -13.00   -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00 
