========================================================================================
   RISOLUZIONE MDP E CAMMINATA OTTIMA (STANDARD): soluzioni/soluzione_std_grid_3.txt
   Dimensioni Griglia: 30x30 | Start: (0,0) | Goal: (15,15)
========================================================================================

--- MATRICE DEI VALORI V* ---
   52.00    53.00     0.00    59.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    34.00     0.00    22.00    21.00 
   51.00    52.00     0.00    58.00    57.00    56.00    55.00    54.00    53.00    52.00    51.00    50.00    49.00    48.00    47.00    46.00    45.00    44.00    43.00    42.00    41.00    40.00    39.00    38.00    37.00    36.00    35.00     0.00    21.00    20.00 
   50.00    51.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    22.00    21.00 
   49.00    50.00    49.00    48.00    47.00    46.00    45.00    44.00    43.00    42.00    41.00    40.00    39.00    38.00    37.00    36.00    35.00    34.00    33.00    32.00    31.00    30.00    29.00    28.00    27.00    26.00    25.00    24.00    23.00    22.00 
   48.00    49.00    48.00    47.00    46.00    45.00    44.00    43.00    42.00    41.00    40.00    39.00    38.00    37.00    36.00    35.00    34.00    33.00    32.00    31.00    30.00    29.00    28.00    27.00    26.00    25.00    24.00    23.00    22.00    21.00 

--- POLITICA OTTIMA pi* ---
  v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v  
  v    v    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <  
  v    v    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    ^    ^  
  >    >    >    v    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    .    ^    ^  
  ^    ^    .    v    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    ^    .    ^    ^  
  ^    ^    .    >    >    v    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    .    ^    .    ^    ^  
  ^    ^    .    ^    .    v    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    >    >    v    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    v    .    .    .    .    .    .    .    .    .    .    .    .    .    .    ^    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    >    >    v    <    <    <    <    <    <    <    <    <    <    <    .    ^    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    ^    .    v    .    .    .    .    .    .    .    .    .    .    ^    .    ^    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    ^    .    >    >    v    <    <    <    <    <    <    <    .    ^    .    ^    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    ^    .    ^    .    v    .    .    .    .    .    .    ^    .    ^    .    ^    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    ^    .    ^    .    >    >    v    v    v    v    .    ^    .    ^    .    ^    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    ^    .    ^    .    ^    .    v    v    v    v    .    ^    .    ^    .    ^    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    ^    .    ^    .    ^    .    >    >    .    <    .    ^    .    ^    .    ^    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    ^    .    ^    .    ^    .    ^    ^    ^    ^    .    ^    .    ^    .    ^    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    ^    .    ^    .    ^    .    .    .    .    .    .    v    .    ^    .    ^    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    ^    .    ^    .    ^    <    <    <    <    <    <    <    .    ^    .    ^    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    ^    .    ^    .    .    .    .    .    .    .    .    .    .    v    .    ^    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    ^    .    ^    <    <    <    <    <    <    <    <    <    <    <    .    ^    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    ^    .    .    .    .    .    .    .    .    .    .    .    .    .    .    v    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    ^    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    v    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    .    ^    .    ^    ^  
  ^    ^    .    ^    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    v    .    ^    ^  
  ^    ^    .    ^    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    .    ^    ^  
  ^    ^    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    v    v  
  ^    ^    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <  
  ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^    ^  

--- GRIGLIA CON PERCORSO ROBOT ('S'=Start, 'G'=Goal, '*'=Percorso, '#'=Ostacolo) ---
S . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
* . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
* . # # # # # # # # # # # # # # # # # # # # # # # # # # . . 
* * * * . . . . . . . . . . . . . . . . . . . . . . . # . . 
