========================================================================================
   RISOLUZIONE MDP E CAMMINATA OTTIMA: soluzioni/soluzione_grid_3.txt
   Dimensioni Griglia: 30x30 | Start: (0,0) | Goal: (15,15)
========================================================================================

--- MATRICE DEI VALORI V* ---
   -8.66    -8.07     0.00    -3.77     0.00     2.08     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -12.48     0.00   -15.94     0.00   -17.57   -17.69 
   -9.23    -8.66     0.00    -4.58     0.00     0.98    -0.07    -1.07    -2.01    -2.91    -3.77    -4.58    -5.35    -6.08    -6.78    -7.44    -8.07    -8.66    -9.23    -9.77   -10.28   -10.77   -11.23   -11.67   -12.08     0.00   -16.14     0.00   -17.69   -17.80 
   -9.77    -9.23     0.00    -5.35     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -15.94     0.00   -17.80   -17.91 
  -10.28    -9.77     0.00    -6.08    -6.78    -7.44    -8.07    -8.66    -9.23    -9.77   -10.28   -10.77   -11.23   -11.67   -12.08   -12.48   -12.86   -13.21   -13.55   -13.87   -14.18   -14.47   -14.75   -15.01   -15.26   -15.50   -15.72     0.00   -17.91   -18.02 
  -10.77   -10.28     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -17.80   -17.91 
  -11.23   -10.77   -11.23   -11.67   -12.08   -12.48   -12.86   -13.21   -13.55   -13.87   -14.18   -14.47   -14.75   -15.01   -15.26   -15.50   -15.72   -15.94   -16.14   -16.33   -16.52   -16.69   -16.86   -17.01   -17.16   -17.30   -17.44   -17.57   -17.69   -17.80 
  -11.67   -11.23   -11.67   -12.08   -12.48   -12.86   -13.21   -13.55   -13.87   -14.18   -14.47   -14.75   -15.01   -15.26   -15.50   -15.72   -15.94   -16.14   -16.33   -16.52   -16.69   -16.86   -17.01   -17.16   -17.30   -17.44   -17.57   -17.69   -17.80   -17.91 

--- POLITICA OTTIMA pi* ---
  v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v  
  v    v    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <  
  v    v    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    ^    ^  
  >    >    >    v    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    .    ^    ^  
  ^    ^    .    v    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    ^    .    ^    ^  
  ^    ^    .    >    >    v    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    .    ^    .    ^    ^  
  ^    ^    .    ^    .    v    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    >    >    v    <    <    <    <    <    <    <    <    <    <    <    <    <    <    <    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    v    .    .    .    .    .    .    .    .    .    .    .    .    .    .    ^    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    >    >    v    <    <    <    <    <    <    <    <    <    <    <    .    ^    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    ^    .    v    .    .    .    .    .    .    .    .    .    .    ^    .    ^    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    ^    .    >    >    v    <    <    <    <    <    <    <    .    ^    .    ^    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    ^    .    ^    .    v    .    .    .    .    .    .    ^    .    ^    .    ^    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    ^    .    ^    .    >    >    v    v    v    v    .    ^    .    ^    .    ^    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    ^    .    ^    .    ^    .    v    v    v    v    .    ^    .    ^    .    ^    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    ^    .    ^    .    ^    .    >    >    .    <    .    ^    .    ^    .    ^    .    ^    .    ^    .    ^    ^  
  ^    ^    .    ^    .    ^    .    ^    .    ^    .    ^    .    ^    ^    ^    ^    .    ^    .    ^    .    ^    .    ^    .    ^    .    ^    ^  
