========================================================================================
   RISOLUZIONE MDP E CAMMINATA OTTIMA (STANDARD): soluzioni/soluzione_std_grid_7.txt
   Dimensioni Griglia: 70x70 | Start: (0,0) | Goal: (69,69)
========================================================================================

--- MATRICE DEI VALORI V* ('#'=Ostacolo) ---
  -37.00   -36.00   -35.00   -34.00   -33.00   -32.00   -31.00   -30.00   -29.00   -28.00   -27.00   -26.00   -25.00   -24.00   -23.00   -22.00   -21.00   -20.00   -19.00   -18.00   -17.00   -16.00   -15.00   -14.00   -13.00   -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00 
  -26.00   -25.00   -24.00   -23.00   -22.00   -21.00   -20.00   -19.00   -18.00   -17.00   -16.00   -15.00   -14.00   -13.00   -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00 
  -25.00   -24.00        #        #        #   -20.00   -19.00        #        #        #   -15.00   -14.00        #        #        #   -10.00    -9.00        #        #        #    -5.00    -4.00        #        #        #     0.00     1.00        #        #        #     5.00     6.00        #        #        #    10.00    11.00        #        #        #    15.00    16.00        #        #        #    20.00    21.00        #        #        #    25.00    26.00        #        #        #    30.00    31.00        #        #        #    35.00    36.00        #        #        #    40.00    41.00    42.00    43.00    44.00 
  -24.00   -23.00        #        #        #   -19.00   -18.00        #        #        #   -14.00   -13.00        #        #        #    -9.00    -8.00        #        #        #    -4.00    -3.00        #        #        #     1.00     2.00        #        #        #     6.00     7.00        #        #        #    11.00    12.00        #        #        #    16.00    17.00        #        #        #    21.00    22.00        #        #        #    26.00    27.00        #        #        #    31.00    32.00        #        #        #    36.00    37.00        #        #        #    41.00    42.00    43.00    44.00    45.00 
  -23.00   -22.00        #        #        #   -18.00   -17.00        #        #        #   -13.00   -12.00        #        #        #    -8.00    -7.00        #        #        #    -3.00    -2.00        #        #        #     2.00     3.00        #        #        #     7.00     8.00        #        #        #    12.00    13.00        #        #        #    17.00    18.00        #        #        #    22.00    23.00        #        #        #    27.00    28.00        #        #        #    32.00    33.00        #        #        #    37.00    38.00        #        #        #    42.00    43.00    44.00    45.00    46.00 
  -22.00   -21.00   -20.00   -19.00   -18.00   -17.00   -16.00   -15.00   -14.00   -13.00   -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00 
  -21.00   -20.00   -19.00   -18.00   -17.00   -16.00   -15.00   -14.00   -13.00   -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00 
  -20.00   -19.00        #        #        #   -15.00   -14.00        #        #        #   -10.00    -9.00        #        #        #    -5.00    -4.00        #        #        #     0.00     1.00        #        #        #     5.00     6.00        #        #        #    10.00    11.00        #        #        #    15.00    16.00        #        #        #    20.00    21.00        #        #        #    25.00    26.00        #        #        #    30.00    31.00        #        #        #    35.00    36.00        #        #        #    40.00    41.00        #        #        #    45.00    46.00    47.00    48.00    49.00 
  -19.00   -18.00        #        #        #   -14.00   -13.00        #        #        #    -9.00    -8.00        #        #        #    -4.00    -3.00        #        #        #     1.00     2.00        #        #        #     6.00     7.00        #        #        #    11.00    12.00        #        #        #    16.00    17.00        #        #        #    21.00    22.00        #        #        #    26.00    27.00        #        #        #    31.00    32.00        #        #        #    36.00    37.00        #        #        #    41.00    42.00        #        #        #    46.00    47.00    48.00    49.00    50.00 
  -18.00   -17.00        #        #        #   -13.00   -12.00        #        #        #    -8.00    -7.00        #        #        #    -3.00    -2.00        #        #        #     2.00     3.00        #        #        #     7.00     8.00        #        #        #    12.00    13.00        #        #        #    17.00    18.00        #        #        #    22.00    23.00        #        #        #    27.00    28.00        #        #        #    32.00    33.00        #        #        #    37.00    38.00        #        #        #    42.00    43.00        #        #        #    47.00    48.00    49.00    50.00    51.00 
  -17.00   -16.00   -15.00   -14.00   -13.00   -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00 
  -16.00   -15.00   -14.00   -13.00   -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00 
  -15.00   -14.00        #        #        #   -10.00    -9.00        #        #        #    -5.00    -4.00        #        #        #     0.00     1.00        #        #        #     5.00     6.00        #        #        #    10.00    11.00        #        #        #    15.00    16.00        #        #        #    20.00    21.00        #        #        #    25.00    26.00        #        #        #    30.00    31.00        #        #        #    35.00    36.00        #        #        #    40.00    41.00        #        #        #    45.00    46.00        #        #        #    50.00    51.00    52.00    53.00    54.00 
  -14.00   -13.00        #        #        #    -9.00    -8.00        #        #        #    -4.00    -3.00        #        #        #     1.00     2.00        #        #        #     6.00     7.00        #        #        #    11.00    12.00        #        #        #    16.00    17.00        #        #        #    21.00    22.00        #        #        #    26.00    27.00        #        #        #    31.00    32.00        #        #        #    36.00    37.00        #        #        #    41.00    42.00        #        #        #    46.00    47.00        #        #        #    51.00    52.00    53.00    54.00    55.00 
  -13.00   -12.00        #        #        #    -8.00    -7.00        #        #        #    -3.00    -2.00        #        #        #     2.00     3.00        #        #        #     7.00     8.00        #        #        #    12.00    13.00        #        #        #    17.00    18.00        #        #        #    22.00    23.00        #        #        #    27.00    28.00        #        #        #    32.00    33.00        #        #        #    37.00    38.00        #        #        #    42.00    43.00        #        #        #    47.00    48.00        #        #        #    52.00    53.00    54.00    55.00    56.00 
  -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00 
  -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00 
  -10.00    -9.00        #        #        #    -5.00    -4.00        #        #        #     0.00     1.00        #        #        #     5.00     6.00        #        #        #    10.00    11.00        #        #        #    15.00    16.00        #        #        #    20.00    21.00        #        #        #    25.00    26.00        #        #        #    30.00    31.00        #        #        #    35.00    36.00        #        #        #    40.00    41.00        #        #        #    45.00    46.00        #        #        #    50.00    51.00        #        #        #    55.00    56.00    57.00    58.00    59.00 
   -9.00    -8.00        #        #        #    -4.00    -3.00        #        #        #     1.00     2.00        #        #        #     6.00     7.00        #        #        #    11.00    12.00        #        #        #    16.00    17.00        #        #        #    21.00    22.00        #        #        #    26.00    27.00        #        #        #    31.00    32.00        #        #        #    36.00    37.00        #        #        #    41.00    42.00        #        #        #    46.00    47.00        #        #        #    51.00    52.00        #        #        #    56.00    57.00    58.00    59.00    60.00 
   -8.00    -7.00        #        #        #    -3.00    -2.00        #        #        #     2.00     3.00        #        #        #     7.00     8.00        #        #        #    12.00    13.00        #        #        #    17.00    18.00        #        #        #    22.00    23.00        #        #        #    27.00    28.00        #        #        #    32.00    33.00        #        #        #    37.00    38.00        #        #        #    42.00    43.00        #        #        #    47.00    48.00        #        #        #    52.00    53.00        #        #        #    57.00    58.00    59.00    60.00    61.00 
   -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00 
   -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00 
   -5.00    -4.00        #        #        #     0.00     1.00        #        #        #     5.00     6.00        #        #        #    10.00    11.00        #        #        #    15.00    16.00        #        #        #    20.00    21.00        #        #        #    25.00    26.00        #        #        #    30.00    31.00        #        #        #    35.00    36.00        #        #        #    40.00    41.00        #        #        #    45.00    46.00        #        #        #    50.00    51.00        #        #        #    55.00    56.00        #        #        #    60.00    61.00    62.00    63.00    64.00 
   -4.00    -3.00        #        #        #     1.00     2.00        #        #        #     6.00     7.00        #        #        #    11.00    12.00        #        #        #    16.00    17.00        #        #        #    21.00    22.00        #        #        #    26.00    27.00        #        #        #    31.00    32.00        #        #        #    36.00    37.00        #        #        #    41.00    42.00        #        #        #    46.00    47.00        #        #        #    51.00    52.00        #        #        #    56.00    57.00        #        #        #    61.00    62.00    63.00    64.00    65.00 
   -3.00    -2.00        #        #        #     2.00     3.00        #        #        #     7.00     8.00        #        #        #    12.00    13.00        #        #        #    17.00    18.00        #        #        #    22.00    23.00        #        #        #    27.00    28.00        #        #        #    32.00    33.00        #        #        #    37.00    38.00        #        #        #    42.00    43.00        #        #        #    47.00    48.00        #        #        #    52.00    53.00        #        #        #    57.00    58.00        #        #        #    62.00    63.00    64.00    65.00    66.00 
   -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00 
   -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00 
    0.00     1.00        #        #        #     5.00     6.00        #        #        #    10.00    11.00        #        #        #    15.00    16.00        #        #        #    20.00    21.00        #        #        #    25.00    26.00        #        #        #    30.00    31.00        #        #        #    35.00    36.00        #        #        #    40.00    41.00        #        #        #    45.00    46.00        #        #        #    50.00    51.00        #        #        #    55.00    56.00        #        #        #    60.00    61.00        #        #        #    65.00    66.00    67.00    68.00    69.00 
    1.00     2.00        #        #        #     6.00     7.00        #        #        #    11.00    12.00        #        #        #    16.00    17.00        #        #        #    21.00    22.00        #        #        #    26.00    27.00        #        #        #    31.00    32.00        #        #        #    36.00    37.00        #        #        #    41.00    42.00        #        #        #    46.00    47.00        #        #        #    51.00    52.00        #        #        #    56.00    57.00        #        #        #    61.00    62.00        #        #        #    66.00    67.00    68.00    69.00    70.00 
    2.00     3.00        #        #        #     7.00     8.00        #        #        #    12.00    13.00        #        #        #    17.00    18.00        #        #        #    22.00    23.00        #        #        #    27.00    28.00        #        #        #    32.00    33.00        #        #        #    37.00    38.00        #        #        #    42.00    43.00        #        #        #    47.00    48.00        #        #        #    52.00    53.00        #        #        #    57.00    58.00        #        #        #    62.00    63.00        #        #        #    67.00    68.00    69.00    70.00    71.00 
    3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00    72.00 
    4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00    72.00    73.00 
    5.00     6.00        #        #        #    10.00    11.00        #        #        #    15.00    16.00        #        #        #    20.00    21.00        #        #        #    25.00    26.00        #        #        #    30.00    31.00        #        #        #    35.00    36.00        #        #        #    40.00    41.00        #        #        #    45.00    46.00        #        #        #    50.00    51.00        #        #        #    55.00    56.00        #        #        #    60.00    61.00        #        #        #    65.00    66.00        #        #        #    70.00    71.00    72.00    73.00    74.00 
    6.00     7.00        #        #        #    11.00    12.00        #        #        #    16.00    17.00        #        #        #    21.00    22.00        #        #        #    26.00    27.00        #        #        #    31.00    32.00        #        #        #    36.00    37.00        #        #        #    41.00    42.00        #        #        #    46.00    47.00        #        #        #    51.00    52.00        #        #        #    56.00    57.00        #        #        #    61.00    62.00        #        #        #    66.00    67.00        #        #        #    71.00    72.00    73.00    74.00    75.00 
    7.00     8.00        #        #        #    12.00    13.00        #        #        #    17.00    18.00        #        #        #    22.00    23.00        #        #        #    27.00    28.00        #        #        #    32.00    33.00        #        #        #    37.00    38.00        #        #        #    42.00    43.00        #        #        #    47.00    48.00        #        #        #    52.00    53.00        #        #        #    57.00    58.00        #        #        #    62.00    63.00        #        #        #    67.00    68.00        #        #        #    72.00    73.00    74.00    75.00    76.00 
    8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00    72.00    73.00    74.00    75.00    76.00    77.00 
    9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00    72.00    73.00    74.00    75.00    76.00    77.00    78.00 
   10.00    11.00        #        #        #    15.00    16.00        #        #        #    20.00    21.00        #        #        #    25.00    26.00        #        #        #    30.00    31.00        #        #        #    35.00    36.00        #        #        #    40.00    41.00        #        #        #    45.00    46.00        #        #        #    50.00    51.00        #        #        #    55.00    56.00        #        #        #    60.00    61.00        #        #        #    65.00    66.00        #        #        #    70.00    71.00        #        #        #    75.00    76.00    77.00    78.00    79.00 
   11.00    12.00        #        #        #    16.00    17.00        #        #        #    21.00    22.00        #        #        #    26.00    27.00        #        #        #    31.00    32.00        #        #        #    36.00    37.00        #        #        #    41.00    42.00        #        #        #    46.00    47.00        #        #        #    51.00    52.00        #        #        #    56.00    57.00        #        #        #    61.00    62.00        #        #        #    66.00    67.00        #        #        #    71.00    72.00        #        #        #    76.00    77.00    78.00    79.00    80.00 
   12.00    13.00        #        #        #    17.00    18.00        #        #        #    22.00    23.00        #        #        #    27.00    28.00        #        #        #    32.00    33.00        #        #        #    37.00    38.00        #        #        #    42.00    43.00        #        #        #    47.00    48.00        #        #        #    52.00    53.00        #        #        #    57.00    58.00        #        #        #    62.00    63.00        #        #        #    67.00    68.00        #        #        #    72.00    73.00        #        #        #    77.00    78.00    79.00    80.00    81.00 
   13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00    72.00    73.00    74.00    75.00    76.00    77.00    78.00    79.00    80.00    81.00    82.00 
   14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00    72.00    73.00    74.00    75.00    76.00    77.00    78.00    79.00    80.00    81.00    82.00    83.00 
   15.00    16.00        #        #        #    20.00    21.00        #        #        #    25.00    26.00        #        #        #    30.00    31.00        #        #        #    35.00    36.00        #        #        #    40.00    41.00        #        #        #    45.00    46.00        #        #        #    50.00    51.00        #        #        #    55.00    56.00        #        #        #    60.00    61.00        #        #        #    65.00    66.00        #        #        #    70.00    71.00        #        #        #    75.00    76.00        #        #        #    80.00    81.00    82.00    83.00    84.00 
   16.00    17.00        #        #        #    21.00    22.00        #        #        #    26.00    27.00        #        #        #    31.00    32.00        #        #        #    36.00    37.00        #        #        #    41.00    42.00        #        #        #    46.00    47.00        #        #        #    51.00    52.00        #        #        #    56.00    57.00        #        #        #    61.00    62.00        #        #        #    66.00    67.00        #        #        #    71.00    72.00        #        #        #    76.00    77.00        #        #        #    81.00    82.00    83.00    84.00    85.00 
