========================================================================================
   RISOLUZIONE MDP E CAMMINATA OTTIMA: soluzioni/soluzione_grid_6.txt
   Dimensioni Griglia: 60x60 | Start: (0,0) | Goal: (59,59)
========================================================================================

--- MATRICE DEI VALORI V* ---
  -19.13   -19.08   -19.03   -18.98   -18.93   -18.87   -18.81   -18.75   -18.69   -18.62   -18.54   -18.47   -18.39   -18.30   -18.21   -18.12   -18.02   -17.91   -17.80   -17.69     0.00   -17.44   -17.30   -17.16   -17.01   -16.86   -16.69   -16.52   -16.33   -16.14   -15.94   -15.72   -15.50   -15.26   -15.01   -14.75   -14.47   -14.18   -13.87   -13.55     0.00   -12.86   -12.48   -12.08   -11.67   -11.23   -10.77   -10.28    -9.77    -9.23    -8.66    -9.23    -9.77   -10.28   -10.77   -11.23   -11.67   -12.08   -12.48   -12.86 
  -19.08   -19.03   -18.98   -18.93   -18.87   -18.81   -18.75   -18.69   -18.62   -18.54   -18.47   -18.39   -18.30   -18.21   -18.12   -18.02   -17.91   -17.80   -17.69   -17.57     0.00   -17.30   -17.16   -17.01   -16.86   -16.69   -16.52   -16.33   -16.14   -15.94   -15.72   -15.50   -15.26   -15.01   -14.75   -14.47   -14.18   -13.87   -13.55   -13.21     0.00   -12.48   -12.08   -11.67   -11.23   -10.77   -10.28    -9.77    -9.23    -8.66    -8.07    -8.66    -9.23    -9.77   -10.28   -10.77   -11.23   -11.67   -12.08   -12.48 
  -19.03   -18.98   -18.93   -18.87   -18.81   -18.75   -18.69   -18.62   -18.54   -18.47   -18.39   -18.30   -18.21   -18.12   -18.02   -17.91   -17.80   -17.69   -17.57   -17.44     0.00   -17.16   -17.01   -16.86   -16.69   -16.52   -16.33   -16.14   -15.94   -15.72   -15.50   -15.26   -15.01   -14.75   -14.47   -14.18   -13.87   -13.55   -13.21   -12.86     0.00   -12.08   -11.67   -11.23   -10.77   -10.28    -9.77    -9.23    -8.66    -8.07    -7.44    -8.07    -8.66    -9.23    -9.77   -10.28   -10.77   -11.23   -11.67   -12.08 
  -18.98   -18.93   -18.87   -18.81   -18.75   -18.69   -18.62   -18.54   -18.47   -18.39   -18.30   -18.21   -18.12   -18.02   -17.91   -17.80   -17.69   -17.57   -17.44   -17.30     0.00   -17.01   -16.86   -16.69   -16.52   -16.33   -16.14   -15.94   -15.72   -15.50   -15.26   -15.01   -14.75   -14.47   -14.18   -13.87   -13.55   -13.21   -12.86   -12.48     0.00   -11.67   -11.23   -10.77   -10.28    -9.77    -9.23    -8.66    -8.07    -7.44    -6.78    -7.44    -8.07    -8.66    -9.23    -9.77   -10.28   -10.77   -11.23   -11.67 
  -18.93   -18.87   -18.81   -18.75   -18.69   -18.62   -18.54   -18.47   -18.39   -18.30   -18.21   -18.12   -18.02   -17.91   -17.80   -17.69   -17.57   -17.44   -17.30   -17.16     0.00   -16.86   -16.69   -16.52   -16.33   -16.14   -15.94   -15.72   -15.50   -15.26   -15.01   -14.75   -14.47   -14.18   -13.87   -13.55   -13.21   -12.86   -12.48   -12.08     0.00   -11.23   -10.77   -10.28    -9.77    -9.23    -8.66    -8.07    -7.44    -6.78    -6.08    -6.78    -7.44    -8.07    -8.66    -9.23    -9.77   -10.28   -10.77   -11.23 
  -18.87   -18.81   -18.75   -18.69   -18.62   -18.54   -18.47   -18.39   -18.30   -18.21   -18.12   -18.02   -17.91   -17.80   -17.69   -17.57   -17.44   -17.30   -17.16   -17.01     0.00   -16.69   -16.52   -16.33   -16.14   -15.94   -15.72   -15.50   -15.26   -15.01   -14.75   -14.47   -14.18   -13.87   -13.55   -13.21   -12.86   -12.48   -12.08   -11.67     0.00   -10.77   -10.28    -9.77    -9.23    -8.66    -8.07    -7.44    -6.78    -6.08    -5.35    -6.08    -6.78    -7.44    -8.07    -8.66    -9.23    -9.77   -10.28   -10.77 
  -18.81   -18.75   -18.69   -18.62   -18.54   -18.47   -18.39   -18.30   -18.21   -18.12   -18.02   -17.91   -17.80   -17.69   -17.57   -17.44   -17.30   -17.16   -17.01   -16.86     0.00   -16.52   -16.33   -16.14   -15.94   -15.72   -15.50   -15.26   -15.01   -14.75   -14.47   -14.18   -13.87   -13.55   -13.21   -12.86   -12.48   -12.08   -11.67   -11.23     0.00   -10.28    -9.77    -9.23    -8.66    -8.07    -7.44    -6.78    -6.08    -5.35    -4.58    -5.35    -6.08    -6.78    -7.44    -8.07    -8.66    -9.23    -9.77   -10.28 
  -18.75   -18.69   -18.62   -18.54   -18.47   -18.39   -18.30   -18.21   -18.12   -18.02   -17.91   -17.80   -17.69   -17.57   -17.44   -17.30   -17.16   -17.01   -16.86   -16.69     0.00   -16.33   -16.14   -15.94   -15.72   -15.50   -15.26   -15.01   -14.75   -14.47   -14.18   -13.87   -13.55   -13.21   -12.86   -12.48   -12.08   -11.67   -11.23   -10.77     0.00    -9.77    -9.23    -8.66    -8.07    -7.44    -6.78    -6.08    -5.35    -4.58    -3.77    -4.58    -5.35    -6.08    -6.78    -7.44    -8.07    -8.66    -9.23    -9.77 
  -18.69   -18.62   -18.54   -18.47   -18.39   -18.30   -18.21   -18.12   -18.02   -17.91   -17.80   -17.69   -17.57   -17.44   -17.30   -17.16   -17.01   -16.86   -16.69   -16.52     0.00   -16.14   -15.94   -15.72   -15.50   -15.26   -15.01   -14.75   -14.47   -14.18   -13.87   -13.55   -13.21   -12.86   -12.48   -12.08   -11.67   -11.23   -10.77   -10.28     0.00    -9.23    -8.66    -8.07    -7.44    -6.78    -6.08    -5.35    -4.58    -3.77    -2.91    -3.77    -4.58    -5.35    -6.08    -6.78    -7.44    -8.07    -8.66    -9.23 
  -18.62   -18.54   -18.47   -18.39   -18.30   -18.21   -18.12   -18.02   -17.91   -17.80   -17.69   -17.57   -17.44   -17.30   -17.16   -17.01   -16.86   -16.69   -16.52   -16.33   -16.14   -15.94   -15.72   -15.50   -15.26   -15.01   -14.75   -14.47   -14.18   -13.87   -13.55   -13.21   -12.86   -12.48   -12.08   -11.67   -11.23   -10.77   -10.28    -9.77    -9.23    -8.66    -8.07    -7.44    -6.78    -6.08    -5.35    -4.58    -3.77    -2.91    -2.01    -2.91    -3.77    -4.58    -5.35    -6.08    -6.78    -7.44    -8.07    -8.66 
  -18.54   -18.47   -18.39   -18.30   -18.21   -18.12   -18.02   -17.91   -17.80   -17.69   -17.57   -17.69   -17.57   -17.44   -17.30   -17.16   -17.01   -16.86   -16.69   -16.52     0.00   -15.72   -15.50   -15.26   -15.01   -14.75   -14.47   -14.18   -13.87   -13.55   -13.21   -13.55   -13.21   -12.86   -12.48   -12.08   -11.67   -11.23   -10.77   -10.28     0.00    -8.07    -7.44    -6.78    -6.08    -5.35    -4.58    -3.77    -2.91    -2.01    -1.07    -2.01    -2.91    -3.77    -4.58    -5.35    -6.08    -6.78    -7.44    -8.07 
  -18.47   -18.39   -18.30   -18.21   -18.12   -18.02   -17.91   -17.80   -17.69   -17.57   -17.44   -17.57   -17.69   -17.57   -17.44   -17.30   -17.16   -17.01   -16.86   -16.69     0.00   -15.50   -15.26   -15.01   -14.75   -14.47   -14.18   -13.87   -13.55   -13.21   -12.86   -13.21   -13.55   -13.21   -12.86   -12.48   -12.08   -11.67   -11.23   -10.77     0.00    -7.44    -6.78    -6.08    -5.35    -4.58    -3.77    -2.91    -2.01    -1.07    -0.07    -1.07    -2.01    -2.91    -3.77    -4.58    -5.35    -6.08    -6.78    -7.44 
  -18.39   -18.30   -18.21   -18.12   -18.02   -17.91   -17.80   -17.69   -17.57   -17.44   -17.30   -17.44   -17.57   -17.69   -17.57   -17.44   -17.30   -17.16   -17.01   -16.86     0.00   -15.26   -15.01   -14.75   -14.47   -14.18   -13.87   -13.55   -13.21   -12.86   -12.48   -12.86   -13.21   -13.55   -13.21   -12.86   -12.48   -12.08   -11.67   -11.23     0.00    -6.78    -6.08    -5.35    -4.58    -3.77    -2.91    -2.01    -1.07    -0.07     0.98    -0.07    -1.07    -2.01    -2.91    -3.77    -4.58    -5.35    -6.08    -6.78 
  -18.30   -18.21   -18.12   -18.02   -17.91   -17.80   -17.69   -17.57   -17.44   -17.30   -17.16   -17.30   -17.44   -17.57   -17.69   -17.57   -17.44   -17.30   -17.16   -17.01     0.00   -15.01   -14.75   -14.47   -14.18   -13.87   -13.55   -13.21   -12.86   -12.48   -12.08   -12.48   -12.86   -13.21   -13.55   -13.21   -12.86   -12.48   -12.08   -11.67     0.00    -6.08    -5.35    -4.58    -3.77    -2.91    -2.01    -1.07    -0.07     0.98     2.08     0.98    -0.07    -1.07    -2.01    -2.91    -3.77    -4.58    -5.35    -6.08 
  -18.21   -18.12   -18.02   -17.91   -17.80   -17.69   -17.57   -17.44   -17.30   -17.16   -17.01   -17.16   -17.30   -17.44   -17.57   -17.69   -17.57   -17.44   -17.30   -17.16     0.00   -14.75   -14.47   -14.18   -13.87   -13.55   -13.21   -12.86   -12.48   -12.08   -11.67   -12.08   -12.48   -12.86   -13.21   -13.55   -13.21   -12.86   -12.48   -12.08     0.00    -5.35    -4.58    -3.77    -2.91    -2.01    -1.07    -0.07     0.98     2.08     3.25     2.08     0.98    -0.07    -1.07    -2.01    -2.91    -3.77    -4.58    -5.35 
  -18.12   -18.02   -17.91   -17.80   -17.69   -17.57   -17.44   -17.30   -17.16   -17.01   -16.86   -17.01   -17.16   -17.30   -17.44   -17.57   -17.69   -17.57   -17.44   -17.30     0.00   -14.47   -14.18   -13.87   -13.55   -13.21   -12.86   -12.48   -12.08   -11.67   -11.23   -11.67   -12.08   -12.48   -12.86   -13.21   -13.55   -13.21   -12.86   -12.48     0.00    -4.58    -3.77    -2.91    -2.01    -1.07    -0.07     0.98     2.08     3.25     4.47     3.25     2.08     0.98    -0.07    -1.07    -2.01    -2.91    -3.77    -4.58 
  -18.02   -17.91   -17.80   -17.69   -17.57   -17.44   -17.30   -17.16   -17.01   -16.86   -16.69   -16.86   -17.01   -17.16   -17.30   -17.44   -17.57   -17.69   -17.57   -17.44     0.00   -14.18   -13.87   -13.55   -13.21   -12.86   -12.48   -12.08   -11.67   -11.23   -10.77   -11.23   -11.67   -12.08   -12.48   -12.86   -13.21   -13.55   -13.21   -12.86     0.00    -3.77    -2.91    -2.01    -1.07    -0.07     0.98     2.08     3.25     4.47     5.76     4.47     3.25     2.08     0.98    -0.07    -1.07    -2.01    -2.91    -3.77 
  -17.91   -17.80   -17.69   -17.57   -17.44   -17.30   -17.16   -17.01   -16.86   -16.69   -16.52   -16.69   -16.86   -17.01   -17.16   -17.30   -17.44   -17.57   -17.69   -17.57     0.00   -13.87   -13.55   -13.21   -12.86   -12.48   -12.08   -11.67   -11.23   -10.77   -10.28   -10.77   -11.23   -11.67   -12.08   -12.48   -12.86   -13.21   -13.55   -13.21     0.00    -2.91    -2.01    -1.07    -0.07     0.98     2.08     3.25     4.47     5.76     7.11     5.76     4.47     3.25     2.08     0.98    -0.07    -1.07    -2.01    -2.91 
  -17.80   -17.69   -17.57   -17.44   -17.30   -17.16   -17.01   -16.86   -16.69   -16.52   -16.33   -16.52   -16.69   -16.86   -17.01   -17.16   -17.30   -17.44   -17.57   -17.69     0.00   -13.55   -13.21   -12.86   -12.48   -12.08   -11.67   -11.23   -10.77   -10.28    -9.77   -10.28   -10.77   -11.23   -11.67   -12.08   -12.48   -12.86   -13.21   -13.55     0.00    -2.01    -1.07    -0.07     0.98     2.08     3.25     4.47     5.76     7.11     8.54     7.11     5.76     4.47     3.25     2.08     0.98    -0.07    -1.07    -2.01 
    0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00   -16.14     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    -9.23     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    10.04     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00 
  -17.57   -17.44   -17.30   -17.16   -17.01   -16.86   -16.69   -16.52   -16.33   -16.14   -15.94   -15.72   -15.50   -15.26   -15.01   -14.75   -14.47   -14.18   -13.87   -13.55     0.00   -12.86   -12.48   -12.08   -11.67   -11.23   -10.77   -10.28    -9.77    -9.23    -8.66    -8.07    -7.44    -6.78    -6.08    -5.35    -4.58    -3.77    -2.91    -2.01     0.00    -0.07     0.98     2.08     3.25     4.47     5.76     7.11     8.54    10.04    11.62    13.29    15.04    16.88    18.82    20.87    23.02    25.28    27.67    30.17 
  -17.44   -17.30   -17.16   -17.01   -16.86   -16.69   -16.52   -16.33   -16.14   -15.94   -15.72   -15.50   -15.26   -15.01   -14.75   -14.47   -14.18   -13.87   -13.55   -13.21     0.00   -12.48   -12.08   -11.67   -11.23   -10.77   -10.28    -9.77    -9.23    -8.66    -8.07    -7.44    -6.78    -6.08    -5.35    -4.58    -3.77    -2.91    -2.01    -1.07     0.00     0.98     2.08     3.25     4.47     5.76     7.11     8.54    10.04    11.62    13.29    15.04    16.88    18.82    20.87    23.02    25.28    27.67    30.17    32.82 
